List of TASE Companies,,,,,,,,,,,
As of 20/02/2026
Name,TASE Sector,Issuer No.,Corporate No.,Incorporation,Website,Market Cap (K ILS),Full Name,Address,Phone,Fax,E-Mail
AMIDAR,Real-Real-Estate & Construction-Investment-Proerties In Israel,1728,520017393,Israel,www.amidar.co.il,0,AMIDAR THE ISRAELI NATIONAL PUBLIC HOUSING COMPANY,,03-6931555,03-6931564,orly.carmy@amidar.co.il
AMIR MARKETING,Real-Commerce & Services-Commerce,1232,513615286,Israel,www.amir-agricul.co.il,442690,AMIR MARKETING AND INVESTMTS IN AGRICULTURE LTD.,,04-6120200,04-6322255,amir@amir-agricul.co.il
AMOT,Real-Real-Estate & Construction-Investment-Proerties In Israel,1328,520026683,Israel,www.amot.co.il/en                                 ,11415107,AMOT INVESTMENTS LTD.,,03-5760500,03-5760501,osnatg@amot.co.il
AMPA,Real-Real-Estate & Construction-Investment-Proerties In Israel,2471,510000813,Israel,,4237345,AMPA LTD,,09-9708400,,or@ampa.co.il
AMRAM,Real-Real-Estate & Construction-Construction,2385,513201582,Israel,www.amramltd.co.il,3960714,AMRAM AVRAHAM CONSTRUCTION COMPANY LTD,,04-6222444,04-6222544,office@amramltd.co.il
AMTRUST RE,Real-Real-Estate & Construction-Investment-Proerties Abroad,2507,2177996,Virgin Islands (UK),,0,AMTRUST RE LTD,,03-6111000,,jeffrey.weissmann@gmail.com
ANALYST,Finance-Financial Services-Financial Services,1008,520041963,Israel,www.analyst.co.il,1930779,ANALYST I.M.S. INVESTMENT MANAGEMENT SERVICES LTD.,,03-7147147,03-7147142,analyst@analyst.co.il
ANGEL SALOMON,Real-Industry-Food,180,520035130,Israel,www.angel.co.il/en                                ,145524,SALOMON A.ANGEL LTD.,,02-6580555,02-6511238,info@angel.co.il
APOLLO POWER,High-Tech-Technology-Cleantech,1074,520043928,Israel,www.apollo-power.com                              ,320420,APOLLO POWER LTD,,04-9071515,,info@apollo-power.com
ARAD,High-Tech-Technology-Electronics And Optics,1219,510007800,Israel,www.arad.co.il                                    ,1212053,ARAD LTD.,,04-9897911,04-9897926,yoavf@arad.co.il
ARAN,Real-Commerce & Services-Services,1122,510959596,Israel,www.aran-rd.com                                   ,179036,ARAN RESEARCH & DEVELOPMENT (1982) LTD.,,04-6239000,04-6273260,orit.beckerman@aran-rd.co.il
ARAZIM,Real-Real-Estate & Construction-Investment-Proerties Abroad,138,520034281,Israel,,0,ARAZIM INVESTMENTS LTD,,03-6132243,03-6132245,office@araziminv.com
ARBE ROBOTICS,High-Tech-Technology-Semiconductors,1975,515333128,Israel,,383294,ARBE ROBOTICS LTD,,073-7969804,,maya.bo@arberobotics.com
ARGO PROPERTIES,Real-Real-Estate & Construction-Investment-Proerties Abroad,1884,70252750,Holland,www.argo-nv.com                                   ,2932201,ARGO PROPERTIES N.V.,,03-6111000,03-6133355,f.ganea@argo-nv.com
ARI REAL ESTATE,Real-Real-Estate & Construction-Investment-Proerties In Israel,366,520038332,Israel,,1975421,ARI REAL ESTATE (ARENA) INVESTMENT LTD,,08-9578000,08-9578031,nir.l@abultd.com
ARYT,High-Tech-Technology-Defence,587,520033358,Israel,,6273413,ARYT INDUSTRIES LTD.,,03-5388694,03-5339223,info@arytltd.com
ASHDOD REFINERY,Real-Energy And Oil & Gas Exploration-Energy,1361,513775163,Israel,www.arf.co.il,736510,ASHDOD REFINERY LTD,,08-8512702,08-9230557,info@arf.co.il
ASHOT,Real-Industry-Metal & Building Products,312,520037581,Israel,www.ashot.co.il                                   ,2957414,ASHOT - ASHKELON INDUSTRIES LTD.,,08-6721591,08-6755198,yair.kaufman@ashot.co.il
ASHTROM GROUP,Real-Real-Estate & Construction-Construction,1618,510381601,Israel,www.ashtrom.co.il/en                              ,8071338,ASHTROM GROUP LTD,,03-6231399,03-6231401,dalia@ashtrom.co.il
ASHTROM PROP.,Real-Real-Estate & Construction-Investment-Proerties In Israel,251,520036617,Israel,www.ashtrom-properties.co.il/en                   ,0,ASHTROM PROPERTIES LTD.,,03-6231331,03-6231332,zivd@ashtrom.co.il
ASPEN GROUP,Real-Real-Estate & Construction-Investment-Proerties Abroad,313,520037540,Israel,www.e.aspen.co.il                                 ,433931,ASPEN GROUP LTD.,,03-5652222,03-5652225,ayelet@aspen.co.il
ATREYU CAPITAL,Finance-Financial Services-Financial Services,1307,513773564,Israel,,1101172,ATREYU CAPITAL MARKETS LTD,,03-6845500,03-6845550,atreyu@leader.co.il
AUDIOCODES,High-Tech-Technology-Communications Equipment,2134,520044132,Israel,www.audiocodes.com                                ,605302,AUDIOCODES LTD.,,03-9764000,03-9764040,notices@audiocodes.com
AURA,Real-Real-Estate & Construction-Construction,373,520038274,Israel,www.auraisrael.co.il/en/about                     ,6485541,AURA INVESTMENTS LTD.,,03-7181910,03-7181911,ariel@auraisrael.co.il
AURA SMART-M,High-Tech-Technology-Cleantech,1899,515816114,Israel,www.auraair.io,14405,AURA SMART AIR LTD,,  03-5670100,  03-5670101,avi@auraair.io
AUSTRALIA ISR,Real-Real-Estate & Construction-Investment-Proerties In Israel,1001,520041872,Israel,www.australia-israel.com,88318,E.S. AUSTRALIA ISRAEL HOLDINGS LTD,,09-9701114,09-8862350,office@gorendev.co.il
AUTO BANK SERV,Finance-Financial Services-Financial Services,1774,510792773,Israel,www.shva.co.il,1001823,AUTOMATIC BANK SERVICES LIMITED,,03-5264640,03-5253380,rin@shva.co.il
AUTOMAX MOTORS,Real-Commerce & Services-Commerce,2280,513795427,Israel,www.automax.co.il,11199,AUTOMAX MOTORS LTD,,02-6225987,02-6790544,info@automax.co.il
AUTONOMOUS,High-Tech-Technology-Defence,1082,520044298,Israel,,77960,AUTONOMOUS GUARD LTD,,073-3503501,,office@aguard-sys.com
AVERBUCH,Real-Commerce & Services-Commerce,675,520041013,Israel,en.averbuch.co.il                                 ,108797,AVERBUCH FORMICA CENTER LTD.,,08-9224986,08-9224973,zvi@averbuch.co.il
AV-GAD,Real-Real-Estate & Construction-Construction,1829,514091685,Israel,www.avgad-home.co.il,309992,AV-GAD HOLDINGS LTD,,09-8324373,09-8326475,office@avgad-home.co.il
AVGOL,Real-Industry-Wood & Paper,1390,510119068,Israel,www.avgol.com                                     ,370473,AVGOL INDUSTRIES 1953 LTD.,,03-9061500,03-9364376,inbal.konforty@avgol.com
AVIAD DEPOSITS,Financial Instruments-Financial Instrument-Structured Bonds,2446,516946803,Israel,,0,AVIAD DEPOSITS LTD,,03-5251544,,elad@proxima.co.il
AVIATION LINKS,Real-Commerce & Services-Hotels & Tourism,413,520039009,Israel,www.kishrey-teufa.co.il,146710,AVIATION LINKS LTD.,,03-5209000,03-6388811,amit@aviation-links.co.il
AVIV,Real-Real-Estate & Construction-Construction,444,520039264,Israel,www.maviv.co.il,257020,MORDECHAI AVIV TAASIOT BENIYAH (1973) LTD.,,02-6214444,02-6232444,yedid@maviv.co.il
AVROT,Real-Industry-Metal & Building Products,297,520037383,Israel,www.avrot.co.il/en                                ,190154,AVROT INDUSTRIES LTD.,,03-9375027,03-9375003,gilad@avrot.co.il
AXILION,High-Tech-Technology-Software And Internet,383,520038548,Israel,www.axilion.com                                   ,17791,AXILION SMART MOBILITY LTD,,054-6641812,03-6400650,harel.hershtik@gmail.com
AXON VISION,High-Tech-Technology-Defence,2501,515697936,Israel,,179138,AXON VISION LTD,,03-5610901,,roy@axon-vision.com
AYA NEW YORK,Real-Real-Estate & Construction-Investment-Proerties Abroad,2527,2185148,Virgin Islands (UK),,0,AYA NEW YORK LTD,,054-5876850,,libby@bigaya.com
AYALON,Finance-Insurance-Insurance,209,520030677,Israel,www.ayalon-ins.co.il/en                           ,3515965,AYALON INSURANCE COMPANY LTD,,03-7569772,03-7569572,nazkirutm@ayalon-ins.co.il
AZORIM,Real-Real-Estate & Construction-Construction,715,520025990,Israel,www.azorim.co.il/en                               ,5111698,"AZORIM-INVESTMENT, DEVELOPMENT & CONSTRUCTION CO. LTD.",,  03-7613401,03-7613405,lilach@azorim.co.il
AZRIELI GROUP,Real-Real-Estate & Construction-Investment-Proerties In Israel,1420,510960719,Israel,www.azrieligroup.com/en                           ,57507543,AZRIELI GROUP LTD,,03-6081400,03-6081380,niritz@azrieli.com
B.GAON-M,Real-Industry-Metal & Building Products,1452,512623950,Israel,www.gaon.com/en                                   ,111545,B.GAON HOLDINGS LTD.,,03-7954100,03-7954103,martine@gaon.com
B.S.R ENGIN(M),Real-Real-Estate & Construction-Construction,1490,511624769,Israel,www.bsr.co.il,0,B.S.R ENGINEERING AND DEVELOPMENT LTD,,03-6114444,03-6114443,danielk@bsr.co.il
BAIT BAKFAR,Real-Real-Estate & Construction-Investment-Proerties In Israel,1802,511605719,Israel,www.bayit-bakfar.co.il/en                         ,1005311,BAIT BAKFAR LTD,,09-7649966,09-7688888,roni@bbb.co.il
BAIT VEGAG,Real-Real-Estate & Construction-Construction,2371,516501640,Israel,www.baitvegag.co.il,402767,BAIT VEGAG REAL ESTATE DEVELOPMENT LTD,,03-5008032,03-5008030,tal@baitvegag.co.il
BALADI,Real-Commerce & Services-Commerce,2450,511226136,Israel,,2027099,BALADI LTD,,073-2113700,,irena@baladi.co.il
BARAK INVEST,Finance-Financial Services-Financial Services,1344,513673970,Israel,www.barak-invest.co.il,29130,BARAK INVESTMENT HOUSE LTD,, 03-5279755,03-5287750,shay@barak-invest.co.il
BARAN,Real-Commerce & Services-Services,286,520037250,Israel,www.barangroup.com                                ,649841,BARAN GROUP LTD.,,08-6200200,08-6200201,noam@n-r-law.co.il
BAREKET CAPITAL,Finance-Financial Services-Non Banking Credit,1940,515187326,Israel,www.bareketc.com,168212,BAREKET CAPITAL LTD.,,03-3770013,03-6919179,inbal@bareketc.com
BATM,High-Tech-Technology-Investments In High-Tech,2135,520042813,Israel,www.batm.com                                      ,242957,BATM ADVANCED COMMUNICATIONS LTD,,09-8662525,09-8662500,sigalit@batm.com
BEEIO HONEY,High-Tech-Technology-Foodtech,2093,520042870,Israel,www.bee-io.com                                    ,15963,BEEIO HONEY LTD,,08-6110713,08-6110720,office@bee-io.com
BET SHEMESH,Real-Industry-Metal & Building Products,1054,520043480,Israel,www.bsel.co.il                                    ,8086561,BET SHEMESH ENGINES HOLDINGS (1997) LTD.,,02-9909201,02-9916713,dov.feldman@bsel.co.il
BEYON3D-M,High-Tech-Technology-Robotics & 3d,1859,514669506,Israel,www.beyon3d.com                                   ,6910,BEYON3D LTD,,09-8877633,09-8811220,info@beyon3d.com
BEZEQ,Real-Commerce & Services-Communications & Media,230,520031931,Israel,ir.bezeq.co.il                                    ,22855051,BEZEQ THE ISRAELI TELECOMMUNICATION CORP. LTD.,,03-6262200,03-6262209,michal.kuperstein@bezeq.co.il
BIG,Real-Real-Estate & Construction-Investment-Proerties In Israel,1327,513623314,Israel,www.bigcenters.co.il/en                           ,19686950,BIG SHOPPING CENTERS LTD,,073-2600420,073-2600426,assaf@bigcenters.co.il
BIG TECH 50 R&D,High-Tech-Technology-Investments In High-Tech,1832,540295417,Israel,www.bigtech50.com,14559,BIG TECH 50 R&D-LIMITED PARTNERSHIP,,054-2215435,153542215435,info@bigtech50.com
BIKUREY HASADE,Real-Commerce & Services-Commerce,1790,512402538,Israel,www.bikurey.co.il/en                              ,623381,BIKUREY HASADE GROUP LTD,,08-9559559,08-9559669,ellap@bikurey.co.il
BIO MEAT FOOD,High-Tech-Technology-Foodtech,1855,540300860,Israel,,43933,BIO MEAT FOODTECH-LIMITED PARTNERSHIP,,054-4543490,077-9338099,liat_bidas@hotmail.com
BIO VIEW,High-Tech-Biomed-Medical Devices,1305,512671371,Israel,www.bioview.com                                   ,24045,BIO VIEW LTD,,073-2271020,073-2271050,dani@bioview.com
BIOLIGHT,High-Tech-Biomed-Investments In Life Science,1293,513680793,Israel,www.bio-light.co.il/en                            ,32287,BIOLIGHT LIFE SCIENCES LTD,,073-2753400,073-2753401,karin@bio-light.co.il
BIOLINE,High-Tech-Biomed-Biotechnology,1394,513398750,Israel,www.biolinerx.com                                 ,39162,BIOLINE RX LTD.,,08-6429100,08-6429101,info@biolinerx.com
BIRMAN,Real-Industry-Wood & Paper,530,520040320,Israel,www.birman.co.il/english                          ,103849,BIRMAN WOOD AND HARDWARE LTD.,,04-6768000,04-6733464,haim@birman.co.il
BLACKEDGE,Finance-Financial Services-Non Banking Credit,1853,515185999,Israel,www.michman-loans.co.il,596697,BLACKEDGE LTD,,03-9015606,03-6479779,office@blackedge.co.il
BLADERANGER,High-Tech-Technology-Robotics & 3d,1827,515350932,Israel,www.bladeranger.com                               ,28686,BLADERANGER LTD,,055-9582468,,info@bladeranger.com
BLENDER TECH,High-Tech-Technology-Software And Internet,1846,515005502,Israel,blender.global                                    ,95580,BLENDER FINANCIAL TECHLOGIES LTD,,072-2776015,03-6400650,aanava@barlaw.co.il
BLITZ-M,High-Tech-Technology-Electronics And Optics,424,520038779,Israel,www.blitzmotors.com                               ,22184,BLITZ TECHNOLOGIES LTD,,072-2555722,03-7914464,finance@blitzmotors.co.il
BLUE SQUARE RE.,Real-Real-Estate & Construction-Investment-Proerties In Israel,1349,513765859,Israel,www.bsre.co.il/en                                 ,5271258,BLUE SQUARE REAL ESTATE LTD,,03-9282649,03-9282402,hagarg@bsre.co.il
BLUE WAVE-M,High-Tech-Technology-Cleantech,1318,512565730,Israel,www.blue-wave.capital,12669,BLUE WAVE WATER CAPITAL LTD,,054-5651303,03-6113001,keren@blue-wave.capital
BONEI TICHON,Real-Real-Estate & Construction-Construction,531,520040304,Israel,www.boh.co.il/en                                  ,597411,BONEI HATICHON CIVIL ENGINEERING & INFRASTRUCTURES LTD.,,03-9064640,03-5467089,doron@boh.co.il
BONUS BIOGROUP,High-Tech-Biomed-Biotechnology,485,520039777,Israel,www.bonus-bio.com                                 ,589908,BONUS BIOGROUP LTD.,,073-2067100,073-2067111,info@bonus-bio.com
BRAINSWAY,High-Tech-Biomed-Medical Devices,1386,513890764,Israel,www.brainsway.com                                 ,1508123,BRAINSWAY LTD.,,02-5813140,02-5812517,hadarl@brainsway.com
BRAM INDUSTRIES,"Real-Industry-Chemical, Rubber & Plastic",1274,513579482,Israel,en.bram.co.il                                     ,31040,BRAM INDUSTRIES LTD,,08-6611355,08-6611445,info@hai-plastic.co.il
BRAND,Real-Industry-Metal & Building Products,536,520040346,Israel,www.brand.org.il/en/                              ,191241,BRAND GROUP(M.G) LTD,,08-6589588,08-6580353,barak_g@brand.org.il
BRILL,Real-Commerce & Services-Retail,399,520038647,Israel,www.gali.co.il,79207,BRILL SHOE INDUSTRIES LTD.,,03-5158585,077-3181611,evyatar@sbn-brands.co.il
BRIMAG DIGITAL,Real-Commerce & Services-Commerce,1269,511786378,Israel,www.brimag.co.il,225177,BRIMAG DIGITAL AGE LTD,,03-7358000,03-5594224,shimond@brimag.co.il
BUBBLES,Real-Commerce & Services-Retail,1465,513952499,Israel,www.bubbles-online.co.il,22765,BUBBLES INTERGROUP LTD,,053-3310680,03-6443046,meital@bbls-group.com
BUFF TECHNOLOG,High-Tech-Technology-Software And Internet,1933,515811198,Israel,www.buff.game                                     ,20532,BUFF TECHNOLOGIES,,09-3740213,09-3740213,info@buff.game
BULIGO,Real-Real-Estate & Construction-Investment-Proerties Abroad,1980,514766195,Israel,www.buligocapital.com                             ,582489,BULIGO CAPITAL LTD,,03-5755406,03-5755410,info@buligocapital.com
BULL TRADING-M,Finance-Financial Services-Non Banking Credit,1925,510992183,Israel,bull-trade.co.il,623,BULL TRADING AND INVESTMENT LTD.,,03-5444566,03-6422812,office@bull-trade.co.il
CAMTEK,High-Tech-Technology-Semiconductors,2174,511235434,Israel,www.camtek.com                                    ,22243380,CAMTEK LTD.,,04-6048100,04-6048300,moshee@camtek.com
CAN FITE BIO,High-Tech-Biomed-Biotechnology,1272,512022153,Israel,www.canfite.com                                   ,17834,CAN FITE BIOPHARMA LTD,,03-9241114,03-9249378,motti@canfite.co.il
CANADA GLOBAL,Real-Real-Estate & Construction-Investment-Proerties Abroad,106,520041286,Israel,,660672,CANADA GLOBAL (T.R) LTD,,054-2336280,,tony@a2z-finance.co.il
CANZON-M,Real-Investment & Holdings-Investment & Holdings,1304,512819178,Israel,,7403,CANZON ISRAEL LTD,,03-7665533,03-7665533,avishai@argamanf.com
CAPITAL POINT,High-Tech-Biomed-Investments In Life Science,1325,512950320,Israel,,70664,CAPITAL POINT LTD,,03-6070320,03-6070323,ori@capitalpoint.co.il
CARASS0 REAL ES,Real-Real-Estate & Construction-Construction,2384,510488190,Israel,en.carasso-nadlan.co.il                           ,2376730,CARASSO REAL ESTATE LTD,,03-6381102,,reuvenke@carasso.co.il
CARASSO MOTORS,Real-Commerce & Services-Commerce,1585,514065283,Israel,,3557691,CARASSO MOTORS LTD,,08-8631111,08-8631556,nirfa@carasso.co.il
CARMEL CORP,Real-Industry-Food,1748,515818524,Israel,,372543,CARMEL CORP LTD,,03-9488866,03-9676346,eyal.shavit@carmelwines.co.il
CARMIT,Real-Industry-Food,440,520039058,Israel,www.carmitcandy.com                               ,131397,CARMIT CANDY INDUSTRIES LTD,,03-9637000,03-9637001,mory@carmit.co.il
CASTELLAN,Finance-Financial Services-Non Banking Credit,2484,2171174,Virgin Islands (UK),,0,"CASTELLAN REAL ESTATE BVI, LTD",,03-6089816,,hod.mimun@goldfarb.com
CASTRO,Real-Commerce & Services-Retail,280,520037649,Israel,www.castro.com/en                                 ,921931,CASTRO MODEL LTD.,,03-5554555,03-5554553,mgr@castro.co.il
CELLCOM,Real-Commerce & Services-Communications & Media,2066,511930125,Israel,investors.cellcom.co.il                           ,6130507,CELLCOM ISRAEL LTD.,,052-9989595,09-8607986,cellcom_sec@cellcom.co.il
CHAMOSS,Real-Real-Estate & Construction-Investment-Proerties Abroad,1742,633896,Virgin Islands (UK),,0,CHAMOSS INTERNATIONAL LIMITED,,03-6089816,03-6089885,aolivero@finsburgtrust.co.il
CI SYSTEMS,High-Tech-Technology-Electronics And Optics,442,520039280,Israel,www.ci-systems.com                                ,475703,CI SYSTEMS (ISRAEL) LTD.,,04-6448888,04-6543570,cis@ci-systems.com
CIELO-BLU,Real-Real-Estate & Construction-Construction,1331,513605519,Israel,www.hmg.co.il,254262,CIELO-BLU GROUP LTD,,08-9305959,08-9302930,office@hmg.co.il
CION,Finance-Financial Services-Non Banking Credit,2409,D14242259,USA,www.cionbdc.com                                   ,1420245,CION INVESTMENT CORPORATION,,03-6089999,,legal@cioninvestments.com
CIPIA VISION,High-Tech-Technology-Software And Internet,1964,513476010,Israel,fs10.cipia.com,32473,CIPIA VISION LTD,,077-5047760,09-9544120,info@cipia.com
CITRUS PLA,Real-Real-Estate & Construction-Investment-Proerties In Israel,716,520022369,Israel,,60470,I.C.P. ISRAEL CITRUS PLANTATIONS LTD.,,03-6916287,03-6957391,dorit@benezer.co.il
CITY PEOPLE ROT,Real-Real-Estate & Construction-Construction,2417,515790855,Israel,www.city-people.co.il/en                          ,168210,CITY PEOPLE OF ROTSHTEIN GROUP LTD,,03-5173838,,yarden@citypeople.co.il
CLAL BIO TECHNO,High-Tech-Biomed-Investments In Life Science,1447,511898835,Israel,www.cbi.co.il                                     ,47054,CLAL BIOTECHNOLOGY INDUSTRIES LTD,,03-6121616,03-6124545,liat@cbi.co.il
CLAL CAPITAL,Finance-Insurance-Insurance,1324,513754069,Israel,,0,CLAL INSURANCE CAPITAL RAISING LTD,,03-6387575,03-6397011,clalmishpatit@clal-ins.co.il
CLAL INSURANCE,Finance-Insurance-Insurance,224,520036120,Israel,www.clalbit.co.il/investorsrelations              ,20395502,CLAL INSURANCE ENTERPRISES HOLDINGS LTD.,,03-6387577,03-6397011,clalmishpatit@clal-ins.co.il
COHEN DEVL.,Real-Energy And Oil & Gas Exploration-Oil & Gas Exploration,810,520032970,Israel,,1480493,COHEN DEVELOPMENT GAS & OIL LTD.,,073-3208860,073-3208899,haimk@cohen-dev.co.il
COMPUGEN,High-Tech-Biomed-Biotechnology,2188,511779639,Israel,www.cgen.com                                      ,517157,COMPUGEN LTD.,,03-7658585,03-7658555,eranbd@cgen.com
COMPUTER DIR GR,High-Tech-Technology-IT Services,507,520040007,Israel,www.one1.co.il/en                                 ,1161947,COMPUTER DIRECT GROUP LTD.,,03-9767536,03-9767544,dinaa.amir@gmail.com
CONTINUAL-M,Real-Investment & Holdings-Inactive & Shell Companies,1991,514949973,Israel,www.continualexperience.co,6109,CONTINUAL LTD.,,03-6138686,03-6138585,yarkoniwilf@gmail.com
